Title,Column,Labels,Assignees,Initiative,Milestone
Blog post page: make cards same width and length,Backlog,website,,,Team's own Continuous Improvement and Administration
Independent Assessment transition approach,Backlog,,,,Z [pending] Transition to High Performing Org
Automate generation of PDF and docx for markdown pages,Backlog,Future release,,,Team's own Continuous Improvement and Administration
Send Proposed OCMC Presentation to Director,Backlog,Enabling,,,Z [pending] Automate software onboarding
Evolution of Application Catalogue,Backlog,,,,Z [pending] Automate software onboarding
"Present books ""The Architecture of Open Source Applications"" to ARC",Backlog,,,,
Blog - What is Agora OSS?,Backlog,Blog,,,
Confirm if possible to share SA&As and TRAs with other departments.,Backlog,"documentation, Open Source, strategies, toil, Outreach",,,Phase 1: Establish the software assessment sharing pilot
"Evaluation framework for innovation ",Backlog,"strategies, ideation, Outreach, grassroot",,,
Comms Strategy To Promote Opening Up of Existing Docs,Backlog,,,,
Blog - Create Working in the Open post with maths on Why?,Backlog,Blog,,,
Blog - Blitz Meetings,Backlog,Blog,,,
"Blog - business rules are broken, not the system",Backlog,Blog,,,
Develop measurable performance indicators for PwC recommendations,Backlog,,,,Z [pending] Transition to High Performing Org
Get buy-in from S/W onboarding process owner (Enterprise Ops),Backlog,,,,Z [pending] Automate software onboarding
Guide for writing blog posts,Backlog,website,,,
PROPOSAL - Presentation that visualizes Loose Coupling Architecture,Backlog,,,,
Create guidance on proper metrics for a given team,Backlog,Future release,,,Z [pending] Transition to High Performing Org
Blog - Postmortem: what we learned,Backlog,Blog,,,
Align with PwC recomendations,Backlog,,,,Z [pending] Transition to High Performing Org
Blog - loose coupling for the non-techie,Backlog,Blog,,,
Git and GitHub 101,Backlog,Training,,,Team's own Continuous Improvement and Administration
Decide on service levels,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Analysis - Project Forecast vs Actuals,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Produce one pager (placemat) of Framework,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Book - The Delicate Art of Bureaucracy,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
