Title,Column,Labels,Assignees,Initiative,Milestone
Blog post page: make cards same width and length,Backlog,website,,,Team's own Continuous Improvement and Administration
Refine SW Assessment file exchange format,Backlog,,,,Sharing of Software Assessments
Independent Assessment transition approach,Backlog,,,,Z [pending] Transition to High Performing Org
Automate generation of PDF and docx for markdown pages,Backlog,Future release,,,Team's own Continuous Improvement and Administration
PROPOSAL - new milestone on micro-missions to other IT teams within IITB,Backlog,,,,Team's own Continuous Improvement and Administration
Send Proposed OCMC Presentation to Director,Backlog,Enabling,,,Z [pending] Automate software onboarding
Evolution of Application Catalogue,Backlog,,,,Z [pending] Automate software onboarding
"Present books ""The Architecture of Open Source Applications"" to ARC",Backlog,,,,
Blog - What is Agora OSS?,Backlog,Blog,,,
Confirm if possible to share SA&As and TRAs with other departments.,Backlog,"documentation, Open Source, strategies, toil, Outreach",,,Sharing of Software Assessments
"Evaluation framework for innovation ",Backlog,"strategies, ideation, Outreach, grassroot",,,
Comms Strategy To Promote Opening Up of Existing Docs,Backlog,,,,
Blog - Create Working in the Open post with maths on Why?,Backlog,Blog,,,
Blog - Blitz Meetings,Backlog,Blog,,,
"Blog - business rules are broken, not the system",Backlog,Blog,,,
Develop measurable performance indicators for PwC recommendations,Backlog,,,,Z [pending] Transition to High Performing Org
Get buy-in from S/W onboarding process owner (Enterprise Ops),Backlog,,,,Z [pending] Automate software onboarding
Guide for writing blog posts,Backlog,website,,,
PROPOSAL - Presentation that visualizes Loose Coupling Architecture,Backlog,,,,
Create guidance on proper metrics for a given team,Backlog,Future release,,,Z [pending] Transition to High Performing Org
Blog - Postmortem: what we learned,Backlog,Blog,,,
Align with PwC recomendations,Backlog,,,,Z [pending] Transition to High Performing Org
Blog - loose coupling for the non-techie,Backlog,Blog,,,
Git and GitHub 101,Backlog,Training,,,Team's own Continuous Improvement and Administration
Decide on service levels,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Analysis - Project Forecast vs Actuals,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Book - The Delicate Art of Bureaucracy,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Review literature and current trends,Backlog,,,,Sharing of Software Assessments
Write draft Strategy,Backlog,,,,Sharing of Software Assessments
Finalize mockups of file exchange format and GCcode collaboration space,Backlog,,,,Sharing of Software Assessments
Get feedback from Gartner,Backlog,,,,Sharing of Software Assessments
Find potential GC departments willing to participate in a pilot,Backlog,,,,Sharing of Software Assessments
Update draft Strategy,Backlog,,,,Sharing of Software Assessments
Get feedback from ARC,Backlog,,,,Sharing of Software Assessments
Present Strategy and pilot proposal to governance committees,Backlog,,,,Sharing of Software Assessments
Get feedback from Director and DG,Backlog,,gabrielcossette,,Sharing of Software Assessments
Document existing architecture software assessment process,Backlog,,gabrielcossette,,Sharing of Software Assessments
Get informal feedback and buy-in from architecture peers,Backlog,,gabrielcossette,,Sharing of Software Assessments
Prepare pilot,Backlog,,gabrielcossette,,Sharing of Software Assessments
"Launch pilot phase 1 (limited to architecture lens and non-critical COTS desktop apps) ",Backlog,,gabrielcossette,,Sharing of Software Assessments
Present initial pilot findings to Accessibility and Security teams,Backlog,,gabrielcossette,,Sharing of Software Assessments
Present pilot findings to governance committees for approval,Backlog,,gabrielcossette,,Sharing of Software Assessments
Update Team's Communication Strategy,Backlog,communications,"ElminaIusifova, LeighGardner",,Team's own Continuous Improvement and Administration
Investigate The Open Group DPBoKP,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Book - Value Stream Mapping,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Grassroots - e-Docket v2 (o365),Backlog,grassroot,,,Z [Pending[ - Ongoing advice and unplanned work
Presentation on OSS at IITB Showcase,Backlog,strategies,,,Open First Strategy
Blog - We are not in the software business,Backlog,Blog,gcharest,,Team's own Continuous Improvement and Administration
Grassroot - Use ODF by default with M365,Backlog,grassroot,smellems,,Z [Pending[ - Ongoing advice and unplanned work
Upload ICCS OSS WG material to Github repo,Backlog,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
MA - brainstorm on external comms activities related to the fall launch,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
MA - plan for Martin to present at SLF?,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
MA - community chat - where? how?,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
MA - opportunity statement for opportunity #2,Backlog,"initiative:micro-acquisitions, on hold",RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Connect with the office of the procurement ombudsman,Backlog,"communications, initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Check in with Unions/HR on LDV procurement (GCDevEx),Backlog,"Outreach, initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Triage process for micro-acquisition requests,Backlog,"initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Fact Finding - Where does IITB spends its funds,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
get in touch with Interop on how they did SA&A with agile,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Get Salary distribution towards essential services,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Prep for Sharepoint site migrations,Backlog,,remyb2canada,,Team's own Continuous Improvement and Administration
Get must spends,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Get list of critical applications,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Fix the depreciation warnings,Backlog,,,,Team's own Continuous Improvement and Administration
Consultation with IITB,Backlog,strategies,,,Open First Strategy
Periodic meetings with DG / Exec-Dir (like before) - less proxies for comms,Backlog,,,,Z [Pending[ - Ongoing advice and unplanned work
Presentation to CIOEC,Backlog,strategies,,,Open First Strategy
Presentation to ESDC EARB,Backlog,strategies,,,Open First Strategy
Update IT Strategy onboarding document,Backlog,documentation,,,Team's own Continuous Improvement and Administration
Draft Open First Strategy presentation,Backlog,strategies,,,Open First Strategy
Investigate other governments,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Scan current state
Review CS-02 Candidates,Backlog,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
"Assess Next Steps - Exam, Interviews, etc",Backlog,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Check in with TBS (and share knowledge),Backlog,,,,
"One Pager - ""Why Open First""",Backlog,,gabrielcossette,,Open First Strategy
Collaborate with DevOps CoE on transformation approach,Backlog,,philipe-girard,,Z [Pending[ - Ongoing advice and unplanned work
Perform first round of consultations,Backlog,strategies,,,Open First Strategy
SSC GC Enterprise Services potential partnership,Backlog,"strategies, Outreach",remyb2canada,,Z [Pending[ - Ongoing advice and unplanned work
"MA - Automate additions and subtractions from the mailing list excel file ",Backlog,"initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Develop the monitoring process,Backlog,"initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Scope the Work - Propose to Daniel Desforges,Backlog,initiative:software-assessments,"RachelMuston, philipe-girard",initiative:software-assessments,Sharing of Software Assessments
Interview feedback for CS-03s,Backlog,initiative:hr-process,,initiative:hr-process,IM/IT Strategy and Planning HR Process
Book - PDMA's Product Development and Management BoK,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
IIN - Measuring Success,To do,Quarter 3,remyb2canada,,Team's own Continuous Improvement and Administration
PPMP (Project and Progarmme Management Practice) modernization feedback,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
JC OSS - Setup Github Pages site,To do,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
Get buy-in from non-IITB stakeholders (business case),To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Peer Reviews
Conversation with DG for next year's focus,To do,,,,Z [Pending[ - Ongoing advice and unplanned work
Broadcast Product Management initiative,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Peer Reviews
"JC OSS - Refactor Learning Material ""story""",To do,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
Research - public sector organization success stories in using OSS for large systems,To do,strategies,,,Open First Strategy
Plan Team Recruitment based on Workplan,To do,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
New Dashboard,To do,,LeighGardner,,Team's own Continuous Improvement and Administration
FY 2021-2023 Workplan and New Strategy Service,To do,ideation,philipe-girard,,Team's own Continuous Improvement and Administration
Present findings to stakeholders,To do,initiative:governance-study,,initiative:governance-study,Governance Study 4 - Implementation Phase
Produce one pager (placemat) of Framework,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Research app sustainability models,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Scan current state
Update status of Strategies on Website,To do,website,,,Team's own Continuous Improvement and Administration
MA - update the text on the website FAQ related to public servants working as suppliers,To do,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Ping the IITB Showcase folks again about getting the Q&A questions from our session,To do,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
